Name,AssetType,AssetPath,FolderCategory,ConstructionClass,RelationRole,SuggestedSupportType,PivotType,SnapToGround,ScaleLooksMetric,NeedsScaleCheck,PlacementNotes,ChildCount,RendererCount,MeshCount,MaterialCount,MaterialNames,HasCollider,ColliderCount,HasRigidbody,RigidbodyCount,HasAnimator,HasLegacyAnimation,AnimationClipCount,AnimationClipNames,SizeX,SizeY,SizeZ,Labels
"SM_FormworkReinforcment04","Model","Assets/ConstructionSite/Meshes/Building/SM_FormworkReinforcment04.FBX","building","building_element","support_or_anchor","structural_support","centered",False,True,False,"pivot may need placement offset correction",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",4.0133,0.0743,4.0125,""
"SM_FormworkReinforcment05","Prefab","Assets/ConstructionSite/Prefab/Building/SM_FormworkReinforcment05.prefab","building","building_element","support_or_anchor","structural_support","centered",False,True,False,"pivot may need placement offset correction",4,4,4,1,"M_ReinforcementBar",True,1,False,0,False,False,0,"",4.0225,0.0734,4.0191,""
"SM_FormworkReinforcment05","Model","Assets/ConstructionSite/Meshes/Building/SM_FormworkReinforcment05.FBX","building","building_element","support_or_anchor","structural_support","centered",False,True,False,"pivot may need placement offset correction",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",4.0225,0.0734,4.0191,""
"SM_FormworkReinforcment06","Prefab","Assets/ConstructionSite/Prefab/Building/SM_FormworkReinforcment06.prefab","building","building_element","support_or_anchor","structural_support","centered",False,True,False,"pivot may need placement offset correction",4,4,4,1,"M_ReinforcementBar",True,1,False,0,False,False,0,"",4.0249,0.0783,4.0191,""
"SM_FormworkReinforcment06","Model","Assets/ConstructionSite/Meshes/Building/SM_FormworkReinforcment06.FBX","building","building_element","support_or_anchor","structural_support","centered",False,True,False,"pivot may need placement offset correction",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",4.0249,0.0783,4.0191,""
"SM_Tarp01","Prefab","Assets/ConstructionSite/Prefab/Building/SM_Tarp01.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",3,3,3,1,"M_Tarp",True,1,False,0,False,False,0,"",0.0200,8.0000,4.0000,""
"SM_Tarp01","Model","Assets/ConstructionSite/Meshes/Building/SM_Tarp01.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"Lit",False,0,False,0,False,False,0,"",0.0220,8.0025,4.0024,""
"SM_Tarp02","Prefab","Assets/ConstructionSite/Prefab/Building/SM_Tarp02.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",3,3,3,1,"M_Tarp",True,1,False,0,False,False,0,"",0.0200,8.0000,4.0000,""
"SM_Tarp02","Model","Assets/ConstructionSite/Meshes/Building/SM_Tarp02.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"Lit",False,0,False,0,False,False,0,"",0.0220,8.0025,4.0024,""
"SM_Tarp03","Prefab","Assets/ConstructionSite/Prefab/Building/SM_Tarp03.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Tarp",True,1,False,0,False,False,0,"",1.1342,8.0271,4.1402,""
